pintu_masuk,januari,februari,maret,april,mei,juni,juli,agustus,september,oktober,november,desember
Soekarno-Hatta,187123.0,180362.0,194720.0,180787.0,184534.0,208624.0,169135.0,218903.0,174169.0,177274.0,180208.0,190598.0
Ngurah Rai,278685.0,269367.0,268418.0,277925.0,285965.0,329654.0,358907.0,336628.0,352017.0,339200.0,293858.0,341111.0
Kualanamu Int'.,19029.0,17780.0,18493.0,15956.0,19781.0,19376.0,16579.0,16901.0,17792.0,20946.0,22848.0,29243.0
Batam,119054.0,97445.0,122019.0,111929.0,115323.0,140218.0,101966.0,111455.0,113090.0,126169.0,123505.0,171907.0
Sam Ratulangi,1694.0,1079.0,1340.0,1079.0,1365.0,1487.0,1652.0,1854.0,1652.0,1642.0,943.0,1492.0
Juanda,16870.0,16476.0,18776.0,19145.0,20299.0,18685.0,16174.0,18239.0,17124.0,17997.0,18324.0,19084.0
Entikong,1535.0,1609.0,1699.0,1430.0,1785.0,1703.0,2488.0,1568.0,1445.0,1731.0,1936.0,3535.0
Adi Sumarmo,774.0,803.0,1114.0,1029.0,1692.0,1042.0,1125.0,1399.0,1258.0,1122.0,853.0,700.0
Minangkabau,5497.0,2889.0,4327.0,3916.0,4573.0,3779.0,3926.0,3364.0,3857.0,3515.0,3990.0,6563.0
Tanjung Priok,5496.0,4867.0,8767.0,5182.0,5594.0,4892.0,4458.0,4902.0,4248.0,5287.0,5915.0,5333.0
Tanjung Pinang,8236.0,6132.0,9057.0,8227.0,8041.0,9773.0,7149.0,8589.0,7327.0,6716.0,7818.0,10607.0
Bandara Int. Lombok,5105.0,4862.0,5987.0,5413.0,6499.0,6071.0,6582.0,7259.0,6532.0,5438.0,3748.0,6385.0
Makasar,1707.0,1213.0,1159.0,1241.0,1124.0,1134.0,1106.0,1625.0,1389.0,1279.0,1337.0,1399.0
Sepinggan,963.0,1089.0,1244.0,1106.0,1074.0,1425.0,848.0,1265.0,1125.0,1141.0,1015.0,861.0
Sultan Syarif Kasim II,2399.0,2117.0,2130.0,1907.0,2502.0,2247.0,1713.0,1823.0,1912.0,2334.0,2776.0,3522.0
Adisucipto,8855.0,6132.0,8234.0,7569.0,8679.0,7061.0,5394.0,8488.0,5221.0,7932.0,7172.0,8419.0
Husein Sastranegara,16257.0,14560.0,21463.0,13490.0,14588.0,16899.0,6166.0,10545.0,14068.0,15018.0,16539.0,20799.0
Tanjung Uban,28811.0,25090.0,27009.0,24205.0,22204.0,30867.0,31102.0,31388.0,23661.0,25882.0,22733.0,27909.0
Balai Karimun,8329.0,8388.0,8945.0,7621.0,8731.0,10074.0,6343.0,7545.0,7777.0,8164.0,7938.0,10927.0
Pintu Lainnya,36660.0,40406.0,40706.0,37175.0,38010.0,36464.0,34367.0,33081.0,35632.0,39980.0,41005.0,54940.0
